year_gap,threshold,pairs_returned,pairs_scored,good,precision,recall
2,1,476220,553,410,0.7414104882459313,0.1496896677619569
2,2,84922,271,214,0.7896678966789668,0.07813070463672873
2,3,12652,90,73,0.8111111111111111,0.02665206279664111
2,4,1572,21,17,0.8095238095238095,0.006206644760861628
5,1,896742,979,725,0.7405515832482125,0.2646951442132165
5,2,158296,489,377,0.7709611451942741,0.1376414749908726
5,3,23994,169,137,0.8106508875739645,0.050018254837531945
5,4,3004,43,34,0.7906976744186046,0.012413289521723256
10,1,1360566,1321,1004,0.7600302800908403,0.366557137641475
10,2,236392,637,496,0.7786499215070644,0.18108798831690398
10,3,35558,202,161,0.7970297029702971,0.05878057685286601
10,4,4468,52,39,0.75,0.014238773274917854
15,1,1685692,1558,1186,0.7612323491655969,0.4330047462577583
15,2,287206,758,589,0.7770448548812665,0.21504198612632347
15,3,42300,220,179,0.8136363636363636,0.06535231836436656
15,4,5260,57,44,0.7719298245614035,0.01606425702811245
20,1,1924104,1745,1303,0.7467048710601719,0.47572106608251186
20,2,321754,832,638,0.7668269230769231,0.23293172690763053
20,3,46318,231,189,0.8181818181818182,0.06900328587075576
20,4,5664,58,45,0.7758620689655172,0.01642935377875137
