co_raters,threshold,pairs_returned,pairs_scored,good,precision,recall
1,0.02,427056,1377,1165,0.8460421205519245,0.425337714494341
1,0.05,393666,1328,1142,0.8599397590361446,0.4169404892296459
1,0.1,324852,1243,1080,0.8688656476267096,0.39430449069003287
1,0.15,249380,1093,958,0.8764867337602927,0.3497626871120847
1,0.2,210568,998,874,0.875751503006012,0.31909456005841547
1,0.3,138144,810,712,0.8790123456790123,0.25994888645491054
1,0.5,83576,435,383,0.8804597701149425,0.1398320554947061
2,0.02,156298,1039,910,0.875842155919153,0.3322380430814166
2,0.05,156298,1039,910,0.875842155919153,0.3322380430814166
2,0.1,142758,1010,893,0.8841584158415842,0.32603139832055494
2,0.15,116062,932,830,0.8905579399141631,0.30303030303030304
2,0.2,94396,849,757,0.8916372202591284,0.2763782402336619
2,0.3,55056,697,626,0.8981348637015782,0.2285505658999635
2,0.5,20888,353,321,0.9093484419263456,0.1171960569550931
3,0.02,84810,836,735,0.8791866028708134,0.2683461117196057
3,0.05,84810,836,735,0.8791866028708134,0.2683461117196057
3,0.1,84784,836,735,0.8791866028708134,0.2683461117196057
3,0.15,75470,816,725,0.8884803921568627,0.2646951442132165
3,0.2,63442,770,687,0.8922077922077922,0.2508214676889376
3,0.3,40626,673,602,0.8945022288261516,0.21978824388462942
3,0.5,12530,334,302,0.9041916167664671,0.11025921869295363
4,0.02,58566,724,640,0.8839779005524862,0.23366192040890837
4,0.05,58566,724,640,0.8839779005524862,0.23366192040890837
4,0.1,58566,724,640,0.8839779005524862,0.23366192040890837
4,0.15,57560,724,640,0.8839779005524862,0.23366192040890837
4,0.2,51054,702,624,0.8888888888888888,0.22782037239868566
4,0.3,34150,633,565,0.8925750394944708,0.2062796641109894
4,0.5,11086,324,293,0.904320987654321,0.10697334793720335
5,0.02,42780,649,583,0.8983050847457628,0.21285140562248997
5,0.05,42780,649,583,0.8983050847457628,0.21285140562248997
5,0.1,42780,649,583,0.8983050847457628,0.21285140562248997
5,0.15,42780,649,583,0.8983050847457628,0.21285140562248997
5,0.2,41420,646,580,0.8978328173374613,0.2117561153705732
5,0.3,29218,590,533,0.9033898305084745,0.194596568090544
5,0.5,9990,317,289,0.9116719242902208,0.10551296093464768
